,,,,,X,absX,xdiff,Y,absY,ydiff,Z,absZ,zdiff,adiff,,,
10-14-37 671,0,0,0,0.52,0.11116,0.11116,0.049698,-0.525879,0.525879,0.055817,-0.822769,0.822769,0.173828,0.189213113,-0.286835,-0.016979,-0.009902
10-14-37 730,0,0,0.04,0.52,0.11116,0.11116,0,-0.525879,0.525879,0,-0.822769,0.822769,0,0,-0.275708,0.210651,-0.03263
10-14-37 781,0,0,0,0.52,0.11116,0.11116,0,-0.525879,0.525879,0,-0.822769,0.822769,0,0,-0.275708,0.210651,-0.03263
10-14-37 828,0,0,0,0.48,0.11116,0.11116,0,-0.525879,0.525879,0,-0.822769,0.822769,0,0,-0.275708,0.210651,-0.03263
10-14-37 886,0,0,0,0.44,0.15686,0.15686,0.0457,-0.565781,0.565781,0.039902,-0.818924,0.818924,0.003845,0.060790161,-0.275708,0.210651,-0.03263
10-14-37 935,0,0,0,0.4,0.15686,0.15686,0,-0.565781,0.565781,0,-0.818924,0.818924,0,0,-0.344229,0.660534,0.008891
10-14-37 984,0,0,0,0.32,0.15686,0.15686,0,-0.565781,0.565781,0,-0.818924,0.818924,0,0,-0.344229,0.660534,0.008891
10-14-38 033,0,0,0,0.2,0.15686,0.15686,0,-0.565781,0.565781,0,-0.818924,0.818924,0,0,-0.344229,0.660534,0.008891
10-14-38 091,0,0,0,0.16,0.284073,0.284073,0.127213,-0.466812,0.466812,0.098969,-0.810257,0.810257,0.008667,0.161409811,-0.344229,0.660534,0.008891
10-14-38 140,0,0,0,0.12,0.284073,0.284073,0,-0.466812,0.466812,0,-0.810257,0.810257,0,0,-0.276794,0.273722,0.079919
10-14-38 189,0,0,0,0.04,0.284073,0.284073,0,-0.466812,0.466812,0,-0.810257,0.810257,0,0,-0.276794,0.273722,0.079919
10-14-38 238,0,0,0,0.04,0.284073,0.284073,0,-0.466812,0.466812,0,-0.810257,0.810257,0,0,-0.276794,0.273722,0.079919
10-14-38 297,0,0,0,0.04,0.362228,0.362228,0.078155,-0.411514,0.411514,0.055298,-0.804916,0.804916,0.005341,0.095888472,-0.276794,0.273722,0.079919
10-14-38 345,0,0,0,0.04,0.362228,0.362228,0,-0.411514,0.411514,0,-0.804916,0.804916,0,0,-0.28518,0.446335,-0.232835
10-14-38 394,0,0,0,0.04,0.362228,0.362228,0,-0.411514,0.411514,0,-0.804916,0.804916,0,0,-0.28518,0.446335,-0.232835
10-14-38 444,0,0,0,0.04,0.362228,0.362228,0,-0.411514,0.411514,0,-0.804916,0.804916,0,0,-0.28518,0.446335,-0.232835
10-14-38 501,0,0,0,0,0.792969,0.792969,0.430741,-0.658951,0.658951,0.247437,-1.023804,1.023804,0.218888,0.542839603,-0.28518,0.446335,-0.232835
10-14-38 550,0,0,0,0.04,0.792969,0.792969,0,-0.658951,0.658951,0,-1.023804,1.023804,0,0,-2.422331,-0.653786,2.190906
10-14-38 682,0,0,0,0,0.792969,0.792969,0,-0.658951,0.658951,0,-1.023804,1.023804,0,0,-2.422331,-0.653786,2.190906
