,,,,,x,xdiff,y,ydiff,z,zdiff,adiff,asqur,,,
02-20-08 755,0,0,0,0,-0.301666,0.126709,0.982193,0.033829,-0.014908,0.038544,0.136693862,1.027583434,-0.186602,0.221361,0.284934
02-20-08 803,0,0,0,0,-0.301666,0,0.982193,0,-0.014908,0,0,1.027583434,-0.186602,0.221361,0.284934
02-20-08 861,0,0,0.04,0.4,-0.301666,0,0.982193,0,-0.014908,0,0,1.027583434,-0.186602,0.221361,0.284934
02-20-08 910,0,0,0.08,0.52,-0.301666,0,0.982193,0,-0.014908,0,0,1.027583434,-0.186602,0.221361,0.284934
02-20-08 958,0,0,0.08,0.36,0.102844,0.40451,1.053711,0.071518,-0.153427,0.138519,0.433509721,1.069777362,-2.171246,0.589905,-0.754366
02-20-09 008,0,0,0.04,0.28,0.102844,0,1.053711,0,-0.153427,0,0,1.069777362,-2.171246,0.589905,-0.754366
02-20-09 066,0,0,0,0.08,0.102844,0,1.053711,0,-0.153427,0,0,1.069777362,-2.171246,0.589905,-0.754366
02-20-09 116,0,0,0,0,0.102844,0,1.053711,0,-0.153427,0,0,1.069777362,-2.171246,0.589905,-0.754366
02-20-09 165,0,0.12,0,0,-0.148621,0.251465,0.551849,0.501862,0.029541,0.182968,0.59040444,0.572274577,-0.311506,-0.979962,-0.242414
02-20-09 212,0,0.36,0,0,-0.148621,0,0.551849,0,0.029541,0,0,0.572274577,-0.311506,-0.979962,-0.242414
02-20-09 271,0,0.48,0,0,-0.148621,0,0.551849,0,0.029541,0,0,0.572274577,-0.311506,-0.979962,-0.242414
02-20-09 320,0,0.44,0,0,-0.148621,0,0.551849,0,0.029541,0,0,0.572274577,-0.311506,-0.979962,-0.242414
02-20-09 369,16.4,0.24,0,0,-1.111679,0.963058,1.557846,1.005997,0.934692,0.905151,1.660966287,2.129874056,1.18153,1.198607,0.160469
02-20-09 429,0,0,0,0,-1.111679,0,1.557846,0,0.934692,0,0,2.129874056,1.18153,1.198607,0.160469
02-20-09 479,0,0,0,0,-1.111679,0,1.557846,0,0.934692,0,0,2.129874056,1.18153,1.198607,0.160469
02-20-09 528,0,0,0,0,-1.111679,0,1.557846,0,0.934692,0,0,2.129874056,1.18153,1.198607,0.160469
02-20-09 574,0,0,0,0,-0.398422,0.713257,1.162384,0.395462,0.044235,0.890457,1.207493027,1.229566342,1.289257,0.291061,0.437384
